Bratislava,Bratislava,Ivo Nesrovnal
Bratislava,Bratislava-Čunovo,Gabriela Ferenčáková
Bratislava,Bratislava-Devín,Ľubica Kolková
Bratislava,Bratislava-Devínska Nová Ves,Milan Jambor
Bratislava,Bratislava-Dúbravka,Martin Zaťovič
Bratislava,Bratislava-Jarovce,Pavel Škodler
Bratislava,Bratislava-Karlova Ves,Dana Čahojová
Bratislava,Bratislava-Lamač,Peter Šramko
Bratislava,Bratislava-Nové Mesto,Rudolf Kusý
Bratislava,Bratislava-Petržalka,Vladimír Bajan
Bratislava,Bratislava-Podunajské Biskupice,Alžbeta Ožvaldová
Bratislava,Bratislava-Rača,Peter Pilinský
Bratislava,Bratislava-Rusovce,Dušan Antoš
Bratislava,Bratislava-Ružinov,Dušan Pekár
Bratislava,Bratislava-Staré Mesto,Radoslav Števčík
Bratislava,Bratislava-Vajnory,Ján Mrva
Bratislava,Bratislava-Vrakuňa,Martin Kuruc
Bratislava,Bratislava-Záhorská Bystrica,Jozef Krúpa
Malacky,Borinka,Milan Maxian
Malacky,Gajary,Peter Tydlitát
Malacky,Jablonové,Ondrej Uhliarik
Malacky,Jakubov,Peter Gajdár
Malacky,Kostolište,Hubert Danihel
Malacky,Kuchyňa,Róbert Bujna
Malacky,Láb,Marián Moravčík
Malacky,Lozorno,Ľubomír Húbek
Malacky,Malacky,Juraj Říha
Malacky,Malé Leváre,Adrian Pernecký
Malacky,Marianka,Radovan Jurika
Malacky,Pernek,František Bokes
Malacky,Plavecké Podhradie,Milan Kousal
Malacky,Plavecký Mikuláš,Marta Hlavatá
Malacky,Plavecký Štvrtok,Ivan Slezák
Malacky,Rohožník,Peter Švaral
Malacky,Sološnica,Anna Čermáková
Malacky,Studienka,Boris Soukup
Malacky,Stupava,Roman Maroš
Malacky,Suchohrad,Andrea Grujbárová
Malacky,Veľké Leváre,Štefan Kudlička
Malacky,Vysoká pri Morave,Dušan Dvoran
Malacky,Záhorská Ves,Boris Šimkovič
Malacky,Závod,Peter Vrablec
Malacky,Zohor,Martin Zálesňák
Pezinok,Báhoň,Ivan Patoprstý
Pezinok,Budmerice,Jozef Savkuliak
Pezinok,Častá,Mária Garajová
Pezinok,Doľany,Jozef Mruškovič
Pezinok,Dubová,Ľudovít Ružička
Pezinok,Jablonec,Slavomír Pocisk
Pezinok,Limbach,Adriana Čechovičová
Pezinok,Modra,Juraj Petrakovič
Pezinok,Pezinok,Oliver Solga
Pezinok,Píla,Radovan Mičunek
Pezinok,Slovenský Grob,Štefan Gašparovič
Pezinok,Svätý Jur,Šimon Gabura
Pezinok,Šenkvice,Peter Fitz
Pezinok,Štefanová,Viliam Tekula
Pezinok,Viničné,Štefan Lenghart
Pezinok,Vinosady,Milan Lempochner
Pezinok,Vištuk,Ľubomír Jelínek
Senec,Bernolákovo,Richard Červienka
Senec,Blatné,Rastislav Pero
Senec,Boldog,Alojz Časný
Senec,Čataj,Marta Tušová
Senec,Dunajská Lužná,Štefan Jurčík
Senec,Hamuliakovo,Jozef  Schnóbl
Senec,Hrubá Borša,Ján Klačko
Senec,Hrubý Šúr,Ladislav Gujber
Senec,Hurbanova Ves,Ľubomír Petrák
Senec,Chorvátsky Grob,Radovan Benčík
Senec,Igram,Štefan Kovaľ
Senec,Ivanka pri Dunaji,Ivan Schreiner
Senec,Kalinkovo,Štefan Božík
Senec,Kaplna,Vladimír Vittek
Senec,Kostolná pri Dunaji,Ján Filkász
Senec,Kráľová pri Senci,Dušan Šebok
Senec,Malinovo,Eva Godová
Senec,Miloslavov,Milan Baďanský
Senec,Most pri Bratislave,František Mastný
Senec,Nová Dedinka,Viola Takáčová
Senec,Nový Svet,Dušan Šebeň
Senec,Reca,Zoltán Metzner
Senec,Rovinka,Milan Bombala
Senec,Senec,Karol Kvál
Senec,Tomášov,István Pomichal
Senec,Tureň,Štefan Čermák
Senec,Veľký Biel,Anton Danter
Senec,Vlky,Baltazár Fejes
Senec,Zálesie,Jozef Meško
Dunajská Streda,Báč,Helena Vonyiková
Dunajská Streda,Baka,Juraj Bertalan
Dunajská Streda,Baloň,Frigyes Matus
Dunajská Streda,Bellova Ves,Jozef Fischer
Dunajská Streda,Blahová,Alfréd Kuczman
Dunajská Streda,Blatná na Ostrove,Terézia Földváryová
Dunajská Streda,Bodíky,Robert Soós
Dunajská Streda,Boheľov,Mária Kázmérová
Dunajská Streda,Čakany,Lívia Bugárová
Dunajská Streda,Čenkovce,Jozef Karika
Dunajská Streda,Čiližská Radvaň,Erzsébet Janík
Dunajská Streda,Dobrohošť,Jozef Boráros
Dunajská Streda,Dolný Bar,Oskár Bereczk
Dunajská Streda,Dolný Štál,Tomáš Horváth
Dunajská Streda,Dunajská Streda,Zoltán Hájos
Dunajská Streda,Dunajský Klátov,Mária Csibová
Dunajská Streda,Gabčíkovo,Iván Fenes
Dunajská Streda,Holice,Imrich Vajas
Dunajská Streda,Horná Potôň,Tivadar Sidó
Dunajská Streda,Horné Mýto,Andrej Puss
Dunajská Streda,Horný Bar,Štefan Bodó
Dunajská Streda,Hviezdoslavov,Marek Kúdela
Dunajská Streda,Jahodná,Jarmila Csiba
Dunajská Streda,Janíky,Lajos Berner
Dunajská Streda,Jurová,Ladislav Matuška
Dunajská Streda,Kľúčovec,Csaba Bognár
Dunajská Streda,Kostolné Kračany,Ladislav Gódány
Dunajská Streda,Kráľovičove Kračany,Jana Gányovicsová
Dunajská Streda,Kútniky,František Bokros
Dunajská Streda,Kvetoslavov,Zoltán Sojka
Dunajská Streda,Kyselica,Erika Orosz Ágošton
Dunajská Streda,Lehnice,František Szitási
Dunajská Streda,Lúč na Ostrove,Ladislav Kiss
Dunajská Streda,Macov,Ľudmila Láníková
Dunajská Streda,Mad,Gabriel László
Dunajská Streda,Malé Dvorníky,Zoltán Marczell
Dunajská Streda,Medveďov,Ladislav Morva
Dunajská Streda,Mierovo,Katarína Janikovicsová
Dunajská Streda,Michal na Ostrove,Július Borbély
Dunajská Streda,Ňárad,Jozef Lukács
Dunajská Streda,Nový Život,Tibor Fehér
Dunajská Streda,Ohrady,Jozef Kubik
Dunajská Streda,Okoč,Ladislav Polák
Dunajská Streda,Oľdza,Tibor Mészáros
Dunajská Streda,Orechová Potôň,Szilárd Gálffy
